M	D	A	C_x	C_y	C_xa	C_ya	m_z	C_x_дн
3.5	-2.8	9.2	0.140882031	1.247510584	0.338844497	1.208878869	-0.399917623	0.068440873
3.5	-2.8	10.4	0.147396608	1.458482261	0.406747762	1.408155066	-0.52537761	0.069337735
3.5	-2.8	11.6	0.154489998	1.678407306	0.486258627	1.613516471	-0.657492723	0.069892217
3.5	-2.8	12.8	0.162210768	1.90355108	0.577292226	1.820578498	-0.790758084	0.070151062
3.5	-2.8	14	0.170245229	2.131304217	0.674087192	2.028490836	-0.924598568	0.070262087
3.5	-2.8	15.2	0.179143113	2.365625881	0.78827031	2.236700236	-1.060074138	0.070043373
3.5	-2.8	16.4	0.188291333	2.601544243	0.908145646	2.444102872	-1.195641581	0.069802446
3.5	-2.8	17.6	0.197940224	2.840656	1.039405417	2.649891983	-1.33139277	0.069517096
3.5	-2.8	18.8	0.208072447	3.082979492	1.18211712	2.853410691	-1.469313039	0.069193323
3.5	-2.8	20	0.218446337	3.326908853	1.330554787	3.055794198	-1.608317847	0.06885034
3.5	-2	-10	0.119563045	-1.261896895	0.347637757	-1.21920721	0.797128949	0.067555645
3.5	-2	-8.8	0.115991007	-1.07311712	0.291212523	-1.039781779	0.673496771	0.067452819
3.5	-2	-7.6	0.112867248	-0.890378978	0.240145956	-0.865376432	0.558646034	0.067275121
3.5	-2	-6.4	0.110640048	-0.719724101	0.199796723	-0.701011254	0.461358181	0.06694768
3.5	-2	-5.2	0.10912846	-0.561739905	0.168857507	-0.547941527	0.380943379	0.066245034
3.5	-2	-4	0.107974678	-0.410091048	0.1426233	-0.400519527	0.308965103	0.065354786
3.5	-2	-2.8	0.107672578	-0.274549284	0.128284957	-0.267986842	0.252793585	0.063879791
3.5	-2	-1.6	0.108112551	-0.141968008	0.117825005	-0.138232798	0.200569617	0.062980028
3.5	-2	-0.4	0.110036672	-0.015307712	0.115121835	-0.014036037	0.15624075	0.063230731
3.5	-2	0.8	0.111805485	0.113577125	0.118212142	0.11232534	0.108833086	0.064514268
3.5	-2	2	0.113496645	0.243574231	0.124199189	0.239769025	0.059886024	0.066314223
3.5	-2	3.2	0.11688004	0.385776626	0.141755431	0.378713136	-0.000729047	0.066592773
3.5	-2	4.4	0.120502985	0.533813144	0.163438285	0.523025725	-0.066554329	0.066703639
3.5	-2	5.6	0.124605031	0.693517911	0.193374364	0.678075268	-0.142800031	0.066479135
3.5	-2	6.8	0.129446172	0.870339679	0.233697882	0.84868038	-0.235496726	0.066791709
3.5	-2	8	0.134656861	1.055719948	0.27921512	1.027063277	-0.336418916	0.067372822
3.5	-2	9.2	0.140882031	1.262813614	0.342002961	1.223794656	-0.45855134	0.068440873
3.5	-2	10.4	0.147396608	1.474363332	0.410609899	1.423534533	-0.584011326	0.069337735
